AIAAIC ID#,Headline,Occurred,Country(ies),Sector(s),Deployer(s),Developer(s),System name(s),Technology(ies),Purpose(s),Issue(s),External harms,Internal impacts,Summary/links
AIAAIC2125,Chinese hackers use Anthropic AI agent to attack foreign entities ,2025,,Banking/financial services; Govt; Manufacturing/engineering; Technology,GTG-1002; Government of China,Anthropic,Claude Code,Agentic AI; Bot/intelligent agent; Machine learning,Attack foreign entities,Autonomy; Confidentiality; Dual use; Privacy; Security; Transparency,,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/chinese-hackers-use-anthropic-ai-agent-to-attack-foreign-entities
AIAAIC2054,Claude Opus 4 AI agent blackmails supervisor to prevent being shut down,2025,Global,Business/professional services; Technology,Anthropic,Anthropic,Claude Opus 4,Agentic AI; Bot/intelligent agent,Promote industrial competitiveness,Autonomy/agency; Alignment,Deception/manipulation,Reputational damage,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/claude-opus-4-blackmails-supervisor-to-prevent-being-shut-down
AIAAIC2053,"AI office vending agent incurs losses, runs amok",2025,USA,Business/professional services; Technology,Anthropic,Anthropic,Claudius,Agentic AI; Bot/intelligent agent,Run office vending business,Accuracy/reliability; Alignment; Autonomy/agency; Mis/disinformation,,Reputational damage,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/ai-office-vending-agent-incurs-losses-runs-amok
AIAAIC2049,Deloitte Australia fined for AI error-strewn government report,2025,Australia,Govt - welfare,Deloitte Australia,OpenAI,GPT-4o,Generative AI,Generate report,Accuracy/reliability; Mis/disinformation; Transparency,,Reputational damage,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/deloitte-australia-fined-for-ai-error-strewn-government-report
AIAAIC1872,Christopher Gatlin jailed for two years after faulty facial recognition match,2021,USA,Govt - police,Pagedale Police Department,,,Facial recognition; Machine learning,Identify criminal suspect,Accountability; Accuracy/reliability; Human/civil rights; Privacy/surveillance; Transparency,Anxiety/distress; Financial loss; Loss of rights/freedoms; Privacy loss; Reputational damage,Reputational damage,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/christopher-gatlin-facial-recognition-wrongful-arrest
AIAAIC1840,UK welfare fraud AI system criticised as biased and opaque,2024,UK,Govt - welfare,Department for Work and Pensions (DWP),Department for Work and Pensions (DWP),Advances,Machine learning,Detect fraud,Bias/discrimination; Transparency,Discrimination,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/uk-welfare-fraud-ai-system-criticised-as-biased-and-opaque
AIAAIC1768,Inaccuracies reveal child protection worker used ChatGPT to draft court report,2023,Australia,Govt - welfare,"Department of Families, Fairness and Housing",OpenAI,ChatGPT,Generative AI,Generate text,Confidentiality; Privacy/surveillance,Confidentiality loss; Privacy loss,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/inaccuracies-reveal-child-protection-worker-used-chatgpt-to-draft-report
AIAAIC1648,"DWP Kickstart ""gateway"" firms with no trading history approved by algorithm",2021,UK,Govt - culture; Govt - employment,Department of Work and Pensions (DWP),UK Cabinet Office,Spotlight,Automated risk assessment,Assess public funds applications,Accuracy/reliability; Bias/discrimination,,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/dwp-kickstart-gateway-firms-with-no-trading-history-approved-by-algorithm
AIAAIC1647,"UK government accused of COVID-19 recovery funding algorithmic ""cultural elitism""",2020,UK,Govt - culture; Govt - employment,Arts Council England (ACE); UK Department of Work and Pensions (DWP); Historic England (HE); National Lottery Heritage Fund (NLHF); UK Cabinet Office,UK Cabinet Office,Spotlight,Automated risk assessment,Assess public funds applications,Accuracy/reliability; Bias/discrimination; Transparency,,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/uk-government-accused-of-covid-19-recovery-funding-cultural-elitism
AIAAIC1642,Utah online dispute resolution system benefits lenders not litigants,2022,USA,Govt - justice,West Valley City Justice Court; Orem City Justice Court,Utah Administrative Office of the Courts,Utah Online Dispute Resolution (ODR),,Resolve disputes,Fairness,,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/utah-dispute-resolution-system-benefits-lenders-not-litigants
