source,source_id,title,description,annex_domain,actor_role,system_pattern,rights,harms,notes,llm_v2_annex_domain,llm_v2_system_pattern,llm_v2_rights,llm_v2_harms,llm_v2_confidence,llm_v2_rationale,hybrid_v2_annex_domain,hybrid_v2_system_pattern,scenario_id,scenario_name
USFED,Individual Assistance (IA) & Public Assistance (PA) Projections,Individual Assistance (IA) & Public Assistance (PA) Projections,"The purpose of these supervised learning models is two-fold:

1.	For informational purposes: the models will produce predictions for to-be-determined quantities of interest. These quantities are often of interest to Agency personnel in the field, region, and headquarters, as well as DHS, OMB, NSC, and the Whitehouse.
2.	For decisional purposes: in addition to being informative, the models predictions are likely to be used for decision making. This may include implicit use (e.g., seeing that there are a large number of households that require assistance may motivate FEMA CFO to consider requesting additional funding for the Disaster Relief Fund) or explicit use (e.g., the number of estimated housing units required may be used to determine the number of housing units to order just-in-time).

Anticipated benefits of using supervised learning models include:
1.	Increased predictive performance: supervised learning models offer means of quantifying and choosing models with the best possible predictive performance.
2.	Timely prediction: supervised learning models can produce reasonably high performance predictions based on limited data.
3.	Quantification of uncertainty: supervised learning models are able to provide prediction intervals and predictive distributions in addition to point predictions to give users a sense of how uncertainty is inherent in the prediction.
4.	Rigor: supervised learning models are well founded on statistical learning theory and provide a level of mathematical rigor that speaks to the reliability and limitations of methods. These supervised learning models produce predictions, not recommendations and not decisions (though they can be used to inform human users in making recommendations and decisions).

At minimum, these supervised learning models will produce point predictions for the different quantities of interest for disaster declarations. Additionally supervised learning models may produce prediction intervals or predictive distributions as feasible and appropriate for the given prediction problem. Often these outputs will be shared via business intelligence tools (e.g., Tableau or PowerBI) for wide internal FEMA use. Some predictions may be shared to a more restricted audience through simpler means (e.g., an excel workbook) as appropriate.",essential_services,deployer,unknown,access_social_protection;privacy_data_protection,other,Auto annotation v0.4 rule-based,essential_services,resource_allocation,good_administration,procedural_unfairness,0.85,"The system is used to predict and allocate resources for public assistance, impacting essential services. It uses supervised learning for resource allocation, with potential procedural unfairness if predictions are inaccurate or lack transparency.",essential_services,resource_allocation,A,Welfare / Benefits Eligibility Deployer
USFED,Automating Multilingual Census Data Processing: An AI and Transformer-Based Pipeline for Efficient Language Detection and Translation for Short-Text,Automating Multilingual Census Data Processing: An AI and Transformer-Based Pipeline for Efficient Language Detection and Translation for Short-Text,"The purpose of this AI-driven pipeline is to tackle the challenge of processing non-English, short-text responses in large-scale surveys and censuses, especially brief entries for race and ethnicity. Traditional language detection and translation systems often struggle with these minimal text responses, impacting data accuracy and inclusivity. This AI solution is designed to automate the entire multilingual data processing workflow, from language detection to translation, named entity recognition, and validation, using AI and transformer-based models along with natural language processing techniques. By achieving high accuracy even with limited context, the system reduces the need for human translators, increases processing speed, and guarantees fair and accurate representation of diverse populations. This innovation not only supports the agencys mission to collect inclusive, representative data but also benefits the public by contributing to more precise demographic insights, ultimately aiding in resource allocation and policy making. The AI system outputs a series of automated decisions and validated translations for short-text responses, such as race and ethnicity write-ins, within large-scale survey data. Specifically, it provides accurate language detection, corrects potential spelling errors, generates contextually accurate translations, and validates these translations against standardized labels using semantic similarity analysis. The system then selects the most accurate translation for each input, guaranteeing precise categorization and extraction of demographic data. These outputs streamline survey data processing by reducing the need for human intervention, allowing for real-time or near real-time responses that meet high standards of accuracy and inclusivity",essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration,misinformation_error,Auto annotation v0.4 rule-based,unknown,classification_triage,non_discrimination;good_administration,misinformation_error,0.85,"The system processes and categorizes multilingual census data, which aligns with classification/triage as it involves language detection and translation. While it aims to improve inclusivity and accuracy, potential errors in translation could lead to misinformation and affect demographic representation.",essential_services,classification_triage,A,Welfare / Benefits Eligibility Deployer
AIAAIC,AIAAIC0410,Netherlands SyRI welfare fraud detection automation,"https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/syri-welfare-fraud-detection-automation Bias/discrimination - race, ethnicity, economic; Privacy; Scope creep/normalisation  Netherlands SyRI welfare fraud detection automation",essential_services,deployer,unknown,access_social_protection;privacy_data_protection;non_discrimination,unfair_exclusion;privacy_breach,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,privacy_data_protection;non_discrimination;access_social_protection,unfair_exclusion;privacy_breach,0.95,"SyRI used profiling to detect welfare fraud, impacting access to social protection and raising privacy concerns due to extensive data use. Bias in the system led to discrimination based on race and ethnicity.",essential_services,profiling_scoring,A,Welfare / Benefits Eligibility Deployer
AIAAIC,AIAAIC1647,"UK government accused of COVID-19 recovery funding algorithmic ""cultural elitism""","https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/uk-government-accused-of-covid-19-recovery-funding-cultural-elitism Accuracy/reliability; Bias/discrimination; Transparency  UK government accused of COVID-19 recovery funding algorithmic ""cultural elitism""",essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration;non_discrimination,unfair_exclusion;procedural_unfairness,Auto annotation v0.4 rule-based,essential_services,resource_allocation,non_discrimination;good_administration,unfair_exclusion;procedural_unfairness,0.85,"The system allocated COVID-19 recovery funds, impacting public assistance distribution. Allegations of 'cultural elitism' suggest bias in allocation, indicating issues with non-discrimination and transparency.",essential_services,resource_allocation,A,Welfare / Benefits Eligibility Deployer
AIAAIC,AIAAIC0598,UK govt Spotlight fund application assessments,"https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/uk-government-spotlight-algorithm Accuracy/reliability; Bias/discrimination - economic, political  UK govt Spotlight fund application assessments",unknown,deployer,unknown,non_discrimination,unfair_exclusion,Auto annotation v0.4 rule-based,essential_services,classification_triage,non_discrimination;good_administration,unfair_exclusion;procedural_unfairness,0.9,"The Spotlight system was used to assess and triage fund applications, impacting eligibility for public assistance. Issues of bias and discrimination suggest problems with fairness and transparency in decision-making.",essential_services,classification_triage,A,Welfare / Benefits Eligibility Deployer
AIAAIC,AIAAIC2020,DOGE uses faulty AI to cut Veterans Affairs contracts,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/doge-uses-faulty-ai-to-cut-veterans-affairs-contracts Accountability; Accuracy/reliability; Transparency  DOGE uses faulty AI to cut Veterans Affairs contracts,essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration,misinformation_error;procedural_unfairness,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,good_administration,unfair_exclusion;misinformation_error,0.85,"The AI system was used to evaluate and potentially terminate contracts related to Veterans Affairs, impacting essential services. The incident highlights issues with accuracy and transparency, indicating profiling/scoring errors leading to unfair exclusion.",essential_services,profiling_scoring,A,Welfare / Benefits Eligibility Deployer
AIAAIC,AIAAIC0826,UK DWP sued for 'unfair' disability benefits fraud detection algorithm,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/dwp-disability-benefits-fraud-algorithm Accountability;  Bias/discrimination; Transparency  UK DWP sued for 'unfair' disability benefits fraud detection algorithm,essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration;non_discrimination,unfair_exclusion;procedural_unfairness,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,non_discrimination;good_administration;access_social_protection,unfair_exclusion;procedural_unfairness,0.9,"The DWP's algorithm assessed disability benefits fraud risk, impacting eligibility for essential services. The lawsuit indicates issues with bias, transparency, and fairness in the profiling/scoring process.",essential_services,profiling_scoring,A,Welfare / Benefits Eligibility Deployer
AIAAIC,AIAAIC0412,Unemployment risk assessment,Unemployment risk assessment,essential_services,deployer,unknown,access_social_protection;privacy_data_protection,other,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,non_discrimination;good_administration,unfair_exclusion;procedural_unfairness,0.85,"The system likely assesses individuals' risk of unemployment, impacting eligibility for benefits or assistance. Profiling/scoring is the most fitting pattern as it involves risk assessment of individuals.",essential_services,profiling_scoring,A,Welfare / Benefits Eligibility Deployer
AIAAIC,AIAAIC0554,Netherlands childcare benefits fraud assessments automation,"https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/netherlands-childcare-benefits-fraud-automation Accuracy/reliability; Bias/discrimination - race, nationality; Privacy Anxiety/distress; Financial loss Netherlands childcare benefits fraud assessments automation",essential_services,deployer,unknown,access_social_protection;privacy_data_protection;non_discrimination,unfair_exclusion;privacy_breach,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,non_discrimination;privacy_data_protection;access_social_protection;good_administration,unfair_exclusion;procedural_unfairness,0.95,"The system automated fraud assessments for childcare benefits, affecting eligibility and access to social protection. It involved profiling/scoring that led to biased outcomes and privacy concerns, impacting individuals based on race and nationality.",essential_services,profiling_scoring,A,Welfare / Benefits Eligibility Deployer
AIAAIC,AIAAIC0990,Rotterdam welfare fraud risk algorithm ,"https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/rotterdam-welfare-fraud-risk-algorithm Accuracy/reliability; Bias/discrimination - race, ethnicity, gender; Ethics/values; Oversight/review; Proportionality Reputational damage; Financial loss Rotterdam welfare fraud risk algorithm",essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration;non_discrimination,unfair_exclusion,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,non_discrimination;privacy_data_protection;good_administration,unfair_exclusion;procedural_unfairness,0.95,"The Rotterdam welfare fraud risk algorithm used profiling to assess fraud risk, impacting eligibility for social benefits. Issues of bias and lack of oversight indicate discrimination and procedural unfairness.",essential_services,profiling_scoring,A,Welfare / Benefits Eligibility Deployer
