source,source_id,title,description,annex_domain,actor_role,system_pattern,rights,harms,notes,llm_v2_annex_domain,llm_v2_system_pattern,llm_v2_rights,llm_v2_harms,llm_v2_confidence,llm_v2_rationale,hybrid_v2_annex_domain,hybrid_v2_system_pattern,root_cause,mitigation_reported,source_type
USFED,Individual Assistance (IA) & Public Assistance (PA) Projections,Individual Assistance (IA) & Public Assistance (PA) Projections,"The purpose of these supervised learning models is two-fold:

1.	For informational purposes: the models will produce predictions for to-be-determined quantities of interest. These quantities are often of interest to Agency personnel in the field, region, and headquarters, as well as DHS, OMB, NSC, and the Whitehouse.
2.	For decisional purposes: in addition to being informative, the models predictions are likely to be used for decision making. This may include implicit use (e.g., seeing that there are a large number of households that require assistance may motivate FEMA CFO to consider requesting additional funding for the Disaster Relief Fund) or explicit use (e.g., the number of estimated housing units required may be used to determine the number of housing units to order just-in-time).

Anticipated benefits of using supervised learning models include:
1.	Increased predictive performance: supervised learning models offer means of quantifying and choosing models with the best possible predictive performance.
2.	Timely prediction: supervised learning models can produce reasonably high performance predictions based on limited data.
3.	Quantification of uncertainty: supervised learning models are able to provide prediction intervals and predictive distributions in addition to point predictions to give users a sense of how uncertainty is inherent in the prediction.
4.	Rigor: supervised learning models are well founded on statistical learning theory and provide a level of mathematical rigor that speaks to the reliability and limitations of methods. These supervised learning models produce predictions, not recommendations and not decisions (though they can be used to inform human users in making recommendations and decisions).

At minimum, these supervised learning models will produce point predictions for the different quantities of interest for disaster declarations. Additionally supervised learning models may produce prediction intervals or predictive distributions as feasible and appropriate for the given prediction problem. Often these outputs will be shared via business intelligence tools (e.g., Tableau or PowerBI) for wide internal FEMA use. Some predictions may be shared to a more restricted audience through simpler means (e.g., an excel workbook) as appropriate.",essential_services,deployer,unknown,access_social_protection;privacy_data_protection,other,Auto annotation v0.4 rule-based,essential_services,profiling_scoring,access_social_protection;good_administration,other,0.85,"FEMA's supervised learning models predict disaster assistance needs and inform resource allocation decisions that affect public assistance eligibility. The system creates risk assessments and predictions about assistance requirements, fitting the profiling/scoring pattern for government benefit decisions.",essential_services,profiling_scoring,unknown,none_reported,government_inventory
USFED,Policy Analyst Assistant,Policy Analyst Assistant,"The Student and Exchange Visitor Program (SEVP) uses AI to help policy analysts quickly find and summarize information about visa rules for students and schools. This saves time and helps analysts respond faster to questions.

This project is intended purpose is to enable SEVP Policy staff to provides responses to policy related inquiries and conduct policy research and analysis: It will be a tool embedded in workflow processes. The processes augmented by the AI includes responses for questions asked by SEVP internal staff and responses given to schools and students by SEVP personnel. For this process, the source of information for the responses will be from authoritative, pre-vetted documents. This reduces the workload on the Policy staff and allows them to focus on more complex policy and guidance issue. For these processes, the AI will assist with researching internal documents and information from regulations, applicable legislation, and other federal guidance. It will assist the policy analyst with summaries, citations, and initial drafts. The benefits includes faster, more consistent responses from Policy and the ability to handle additional work without adding staff. The outputs provides answers to frequently asked policy and guidance questions and summaries and drafts for more in-depth analysis of policy issues. All responses go to an SEVP staff member and are not the final work product.",essential_services,deployer,unknown,access_social_protection;privacy_data_protection,other,Auto annotation v0.4 rule-based,essential_services,summary_assistant,good_administration,other,0.85,"System assists government officials in making decisions about student visa eligibility and policy guidance, affecting access to essential services. It primarily generates summaries and drafts from policy documents to support decision-making processes.",essential_services,summary_assistant,unknown,none_reported,government_inventory
USFED,Conversation Training and Feedback Simulator,Conversation Training and Feedback Simulator,"TSA's Training and Development office is using an off-the-shelf, on-demand, employee learning/training platform which contains commercial training on many topics tailored to each user's interests and skill level to support their personalized training plans and goals. One available component of the platform uses a large language model (LLM) as part of an interactive, dialogue-style training functionality to communicate with and advise the learner to develop critical non-security sensitive soft skills such as customer service and communicating on difficult topics. Text responses to questions or answers to a question",employment,deployer,llm_decision_support,non_discrimination;privacy_data_protection,other,Auto annotation v0.4 rule-based,employment,llm_decision_support,other,other,0.85,"System uses LLM to provide training and advice to employees for skill development, which relates to worker management under Annex III(4). This is LLM-based decision support for employee development rather than direct employment decisions.",employment,llm_decision_support,unknown,none_reported,government_inventory
USFED,TSA Contact Center Virtual Assistant,TSA Contact Center Virtual Assistant,"The three goals for TSAs virtual assistant are:  1) Improve Ease / Efficiency  deliver timely, accurate responses to customers within / outside of TCC operational hours; 2) Improve Effectiveness  collect new customer insights to help drive agency improvements; 3) Fiscal Responsibility  leverage automation to meet increasing demand without the need for additional resources. TSAs virtual assistant, as a Predictive AI tool, will not be able to create and provide original content to customers.  It will be limited to providing responses to customer inquiries based on the existing content in the TCCs knowledge library.  However, it will record transactional data related to these customer inquiries (e.g., customer inputs, assistant outputs, topic classifications, etc.).

TSAs virtual assistant will create transactional data regarding customer inquiries in a consistent manner to our existing email and phone channels.  TSA uses this transactional data to guide customer experience improvement efforts.  This data offers TSA insights into:  what is working well, where the pain points are, where to improve public information, and what services are most requested.",unknown,deployer,unknown,other,other,Auto annotation v0.4 rule-based,unknown,chatbot,other,other,0.8,This is a customer service chatbot for TSA inquiries that provides information from a knowledge base without making decisions about individuals. It doesn't fit employment or essential services domains as it's purely informational customer support.,unknown,chatbot,unknown,none_reported,government_inventory
USFED,ELIS Evidence Classifier Machine Learning (ML) Tagging Solution,ELIS Evidence Classifier Machine Learning (ML) Tagging Solution,"To enable end users to navigate directly to the page(s) containing evidence documents of interest instead of sifting through large PDF documents. Evidence tagging intends to accelerate case processing by identifying specific types of documents (e.g., I-589, passport photo spread, marriage certificate) and applying a metadata tag to that document object in ELIS. This way, when a user opens a case with potentially hundreds of pages of evidence documents, rather than scrolling through them one at a time to find a specific document of interest, they have clickable ""bookmarks"" in the UI generated from these tags that will jump directly to the corresponding page. Tagged evidence. The system inputs an image (scanned document from Lockbox) and outputs either a specific label, such as ""Border Crossing Card - Front,"" or no label if that document is not recognized as one of the classes.",unknown,deployer,unknown,other,other,Auto annotation v0.4 rule-based,essential_services,classification_triage,good_administration,other,0.85,"ELIS processes immigration evidence documents for government case decisions, affecting access to essential services like immigration status. The system classifies and categorizes document types to streamline case processing rather than making substantive decisions about individuals.",essential_services,classification_triage,unknown,none_reported,government_inventory
USFED,Automated Change Detection,Automated Change Detection,"As part of the Census Bureau's efforts to maintain and update the Geographic Frame ahead of the 2030 Decennial Census, the Geography Division is using AI to identify changes in the built environment throughout the nation twice a year. With the areas of change we are extracting our own geographic features (roads, building footprints) to support improving coverage across the nation. We use Google Earth Engine to analyze change in construction using Sentinel-2 imagery and recommend where to use high resolution imagery. The object detection provides roads and building footprints to improve our feature coverage.",unknown,deployer,unknown,other,other,Auto annotation v0.4 rule-based,unknown,not_llm,other,other,0.8,"This system detects geographic changes for census mapping using satellite imagery and object detection algorithms. It does not involve individual-level decisions affecting employment or essential services access, falling outside Annex III scope.",unknown,not_llm,unknown,none_reported,government_inventory
USFED,Linkage and Matching Program (LaMP),Linkage and Matching Program (LaMP),"This use case involves probabilistic record linkage to link multiple person-level datasets. The predicted links are used for downstream processing to enable research regarding economic, demographic, and other topics and improve quality and efficiency of multiple Census operations. The AI produces a prediction regarding whether two records match. Output from the model is pairs of records above a minimum threshold indicating a match along with the score describing the similarity between the two records in the pair.",unknown,deployer,unknown,other,other,Auto annotation v0.4 rule-based,unknown,not_llm,other,other,0.7,"This appears to be a technical data linkage system for research and census operations, not directly making decisions about individuals' employment or essential services access. The system uses probabilistic matching algorithms for administrative data processing rather than individual-level decision making covered by Annex III.",unknown,not_llm,unknown,none_reported,government_inventory
USFED,Automating Multilingual Census Data Processing: An AI and Transformer-Based Pipeline for Efficient Language Detection and Translation for Short-Text,Automating Multilingual Census Data Processing: An AI and Transformer-Based Pipeline for Efficient Language Detection and Translation for Short-Text,"The purpose of this AI-driven pipeline is to tackle the challenge of processing non-English, short-text responses in large-scale surveys and censuses, especially brief entries for race and ethnicity. Traditional language detection and translation systems often struggle with these minimal text responses, impacting data accuracy and inclusivity. This AI solution is designed to automate the entire multilingual data processing workflow, from language detection to translation, named entity recognition, and validation, using AI and transformer-based models along with natural language processing techniques. By achieving high accuracy even with limited context, the system reduces the need for human translators, increases processing speed, and guarantees fair and accurate representation of diverse populations. This innovation not only supports the agencys mission to collect inclusive, representative data but also benefits the public by contributing to more precise demographic insights, ultimately aiding in resource allocation and policy making. The AI system outputs a series of automated decisions and validated translations for short-text responses, such as race and ethnicity write-ins, within large-scale survey data. Specifically, it provides accurate language detection, corrects potential spelling errors, generates contextually accurate translations, and validates these translations against standardized labels using semantic similarity analysis. The system then selects the most accurate translation for each input, guaranteeing precise categorization and extraction of demographic data. These outputs streamline survey data processing by reducing the need for human intervention, allowing for real-time or near real-time responses that meet high standards of accuracy and inclusivity",essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration,misinformation_error,Auto annotation v0.4 rule-based,essential_services,llm_decision_support,non_discrimination;privacy_data_protection,other,0.8,"The system processes census data that informs government resource allocation and policy decisions, qualifying as essential services. It uses transformer-based models (LLMs) to automate translation and validation decisions for demographic classification.",essential_services,llm_decision_support,unknown,none_reported,government_inventory
USFED,FAQ for SMaRT,FAQ for SMaRT,"The purpose of the FAQ search tool is to find the correct Census Bureau-provided answers to common questions from the public about the 2025 Census Test. The 2025 Census Test is a proposed test as part of the Small-Scale Response Test (SmaRT) program in decennial. The purpose of this program is to perform experiments using different methods to improve self-response rates and data collection. The SmaRT program accomplishes this using iterative tests with relatively small sample sizes. Four installments of the SmaRT program were fielded before the 2020 Census. Three small-scale tests have occurred so far this decade with the fourth test planned for 2025. There is an online questionnaire for each of the tests, with a census.gov landing page to access the online questionnaire. In the first three tests this decade, there were approximately 15 FAQs on the landing page that the user could read. For the 2025 Census Test, we would like to offer over 50 FAQs to answer the publics questions via a search tool.
Current public-facing search tools at the Census Bureau use exact match only. Depending on what users type to search, the correct FAQ might not appear because users do not always use the same terminology as the Census Bureau. This FAQ search tool built with machine-learning models will use semantic similarity (i.e., synonyms or misspellings) to find the correct answers. The answers it provides back to the public are census-approved answers, and not generative AI answers. If the 2025 Census Test is approved, this search feature will be on the landing page for the survey. Implementing this search tool is considered a proof-of-concept for the use of such a search feature. If it is successful, the search tool could be used in the 2026 Census Test on its landing page, or the 2028 Dress Rehearsal. Ultimately, if it is successful, the public will benefit by finding answers to common questions more easily and more accurately. Description of what the AI system outputs, whether its a prediction, recommendation, decision, etc.
Utilizing transfer learning from Large Language Models (LLMs) we utilize them to encode our Census approved FAQs to then compare to a user query. This user query is then encoded as an embedding from the same LLM model and then we take a distance calculation using cosine similarity to rank our reference materials. We then showcase the top 3 results depending if a threshold is met of .25 cosine similarity or above. It is a semantic search tool that ranks reference material.",essential_services,deployer,llm_assisted_screening,access_social_protection;privacy_data_protection,other,Auto annotation v0.4 rule-based,unknown,not_llm,other,other,0.7,"This is a semantic search tool for census FAQs using ML for similarity matching, not generative AI. It doesn't involve employment decisions or essential services eligibility, and no specific harms or rights violations are described.",essential_services,not_llm,unknown,none_reported,government_inventory
USFED,Enriched Citation,Enriched Citation,"Data dissemination system that identifies which references, or prior art, were cited in specific patent application office actions, including: bibliographic information of the reference, the claims that the prior art was cited against, and the relevant sections that the examiner relied upon. Use of AI to extract summarized information from unstructured text is providing operational cost savings.  System extracts information from unstructured office actions and provides the information through a structured public facing API.",unknown,deployer,unknown,other,other,Auto annotation v0.4 rule-based,unknown,summary_assistant,other,other,0.7,This is a patent information extraction and summarization system that doesn't involve individual decision-making about people. It falls outside Annex III scope as it processes patent documents rather than making decisions affecting individuals in employment or essential services contexts.,unknown,summary_assistant,unknown,none_reported,government_inventory
