AIAAIC_ID,Headline,Occurred,Country_ies,Sector_s,Deployer_s,Developer_s,System_name_s,Technology_ies,Purpose_s,Issues,External_harms,Internal_impacts,Summary_links
AIAAIC2087,"Study: Uber dynamic pricing increases passenger fares, lowers driver earnings",2023,UK,Transport/logistics,Uber,Uber ,,Pricing algorithm; Machine learning,Calculate price,Accountability; Autonomy/agency; Employment; Environment; Fairness; Transparency,,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/uber-dynamic-pricing-increases-passenger-fares-lowers-driver-earnings
AIAAIC2078,"Brian Cranston voice, likeness used without consent to train Sora video generation tool",2025,USA,Media/entertainment/sports/arts,,OpenAI,Sora,Generative AI; Text-to-video,Create video,Accountability; Autonomy/agency; Copyright; Personality rights; Transparency,Autonomy/agency loss; IP/copyright loss; Financial loss; Personality rights loss,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/brian-cranston-voice-likeness-used-without-consent-to-train-sora
AIAAIC2049,Deloitte Australia fined for AI error-strewn government report,2025,Australia,Govt - welfare,Deloitte Australia,OpenAI,GPT-4o,Generative AI,Generate report,Accuracy/reliability; Mis/disinformation; Transparency,,Reputational damage,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/deloitte-australia-fined-for-ai-error-strewn-government-report
AIAAIC2020,DOGE uses faulty AI to cut Veterans Affairs contracts,2025,USA,Govt ,Department of Government Efficiency,Department of Government Efficiency,MUNCHABLE,Large language model; Machine learning,Identify unneeded contracts,Accountability; Accuracy/reliability; Transparency,,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/doge-uses-faulty-ai-to-cut-veterans-affairs-contracts
AIAAIC2003,White House chief of staff targeted in AI-powered security breach,2025,USA,Govt,,,,Deepfake; Voice cloning,Defraud,Confidentiality; Privacy/surveillance; Security,Privacy loss,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/white-house-chief-of-staff-targeted-in-ai-powered-security-breach
AIAAIC1986,North Korea uses AI to covertly place IT workers in western tech companies,2022,Australia; UK; USA,Business/professional services,Government of North Korea,,,Deepfake,Impersonate workers,Confidentiality; Authenticity/integrity; Employment; Security; Transparency,,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/north-korea-uses-ai-to-place-it-workers-in-western-tech-companies
AIAAIC1970,"Sweden fraud prediction algorithm found to discriminate against women, migrants",2013,Sweden,Govt - welfare,Försäkringskassan,Försäkringskassan,,Prediction algorithm; Machine learning,Predict fraud,Accountability; Bias/discrimination; Privacy/surveillance; Transparency,,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/sweden-fraud-prediction-algorithm-found-to-discriminate-against-women
AIAAIC1962,Brazilian AI-powered welfare app accused of unfairly denying claims,2018,Brazil,Govt - welfare,Instituto Nacional do Seguro Social,Dataprev,Meu INSS,Computer vision; NLP/text analysis,Process welfare claims,Accessibility; Accountability; Accuracy/reliability; Bias/discrimination; Transparency,,,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/brazil-ai-powered-welfare-app-accused-of-unfairly-denying-claims
AIAAIC1935,White House appears to use AI to calculate tariff rates,2025,Algeria; Angola; Bangladesh; Bosnia and Herzegovina; Botswana; Brunei; Cambodia; Cameroon; Chad; China; Côte d'Ivoire; Democratic Republic of the Congo; Equatorial Guinea; European Union; Falkland Islands; Fiji; Guyana; India; Indonesia; Iraq; Israel; Japan; Jordan; Kazakhstan; Laos; Lesotho; Libya; Liechtenstein; Madagascar; Malawi; Malaysia; Mauritius; Moldova; Mozambique; Myanmar; Namibia; Nauru; Nicaragua; Nigeria; North Macedonia; Norway; Pakistan; Philippines; Serbia; South Africa; South Korea; Sri Lanka; Switzerland; Syria; Taiwan; Thailand; Tunisia; USA; Vanuatu; Venezuela; Vietnam; Zambia; Zimbabwe,Politics,US government,Anthropic; Google; OpenAI; xAI,ChatGPT; Claude; Gemini; Grok,Generative AI,Calculate tariff rates,Accountability; Accuracy/reliability; Employment; Transparency,,Reputational damage,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/white-house-appears-to-use-ai-to-calculate-tariff-rates
AIAAIC1923,Optifye roasted for shop floor AI surveillance,2025,Global,Manufacturing/engineering,,Optifye,Optifye,Computer vision,Increase worker productivity,Autonomy/agency; Employment; Privacy/surveillance; Transparency,,Reputational damage,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/optifye-roasted-for-shop-floor-ai-surveillance
