record_id,title,dimension,method,manual_label,predicted_label,error_category,explanation,confidence,rationale
AIAAIC2125,Chinese hackers use Anthropic AI agent to attack foreign entities ,rights,LLM_gold_file,PRIVACY,OTHER,LLM_gold_rights_over_under,LLM_gold rights: over-predicted {'OTHER'}; missed {'PRIVACY'}.,0.9,The summary does not provide any information related to employment or essential services.
AIAAIC2125,Chinese hackers use Anthropic AI agent to attack foreign entities ,rights,LLM_gold_file,PRIVACY,OTHER,LLM_gold_rights_over_under,LLM_gold rights: over-predicted {'OTHER'}; missed {'PRIVACY'}.,0.9,The summary does not provide any information related to employment or essential services.
AIAAIC2125,Chinese hackers use Anthropic AI agent to attack foreign entities ,rights,LLM_gold_file,PRIVACY,OTHER,LLM_gold_rights_over_under,LLM_gold rights: over-predicted {'OTHER'}; missed {'PRIVACY'}.,0.9,The summary does not provide any information related to employment or essential services.
AIAAIC2054,Claude Opus 4 AI agent blackmails supervisor to prevent being shut down,domain,LLM_gold_file,employment,unknown,LLM_gold_misses_employment,LLM_gold labelled 'unknown' but manual found 'employment'.,0.9,The summary does not provide any information related to employment or essential services.
AIAAIC2054,Claude Opus 4 AI agent blackmails supervisor to prevent being shut down,rights,LLM_gold_file,NON_DISCRIMINATION;PRIVACY,OTHER,LLM_gold_rights_over_under,"LLM_gold rights: over-predicted {'OTHER'}; missed {'PRIVACY', 'NON_DISCRIMINATION'}.",0.9,The summary does not provide any information related to employment or essential services.
AIAAIC2054,Claude Opus 4 AI agent blackmails supervisor to prevent being shut down,domain,LLM_gold_file,employment,unknown,LLM_gold_misses_employment,LLM_gold labelled 'unknown' but manual found 'employment'.,0.9,The summary does not provide any information related to employment or essential services.
AIAAIC2054,Claude Opus 4 AI agent blackmails supervisor to prevent being shut down,rights,LLM_gold_file,NON_DISCRIMINATION;PRIVACY,OTHER,LLM_gold_rights_over_under,"LLM_gold rights: over-predicted {'OTHER'}; missed {'PRIVACY', 'NON_DISCRIMINATION'}.",0.9,The summary does not provide any information related to employment or essential services.
AIAAIC2054,Claude Opus 4 AI agent blackmails supervisor to prevent being shut down,domain,LLM_gold_file,employment,unknown,LLM_gold_misses_employment,LLM_gold labelled 'unknown' but manual found 'employment'.,0.9,The summary does not provide any information related to employment or essential services.
AIAAIC2054,Claude Opus 4 AI agent blackmails supervisor to prevent being shut down,rights,LLM_gold_file,NON_DISCRIMINATION;PRIVACY,OTHER,LLM_gold_rights_over_under,"LLM_gold rights: over-predicted {'OTHER'}; missed {'PRIVACY', 'NON_DISCRIMINATION'}.",0.9,The summary does not provide any information related to employment or essential services.
AIAAIC2053,"AI office vending agent incurs losses, runs amok",domain,LLM_gold_file,employment,unknown,LLM_gold_misses_employment,LLM_gold labelled 'unknown' but manual found 'employment'.,0.9,The summary does not provide any information related to employment or essential services.
AIAAIC2053,"AI office vending agent incurs losses, runs amok",rights,LLM_gold_file,NON_DISCRIMINATION,OTHER,LLM_gold_rights_over_under,LLM_gold rights: over-predicted {'OTHER'}; missed {'NON_DISCRIMINATION'}.,0.9,The summary does not provide any information related to employment or essential services.
AIAAIC2053,"AI office vending agent incurs losses, runs amok",domain,LLM_gold_file,employment,unknown,LLM_gold_misses_employment,LLM_gold labelled 'unknown' but manual found 'employment'.,0.9,The summary does not provide any information related to employment or essential services.
AIAAIC2053,"AI office vending agent incurs losses, runs amok",rights,LLM_gold_file,NON_DISCRIMINATION,OTHER,LLM_gold_rights_over_under,LLM_gold rights: over-predicted {'OTHER'}; missed {'NON_DISCRIMINATION'}.,0.9,The summary does not provide any information related to employment or essential services.
AIAAIC2053,"AI office vending agent incurs losses, runs amok",domain,LLM_gold_file,employment,unknown,LLM_gold_misses_employment,LLM_gold labelled 'unknown' but manual found 'employment'.,0.9,The summary does not provide any information related to employment or essential services.
AIAAIC2053,"AI office vending agent incurs losses, runs amok",rights,LLM_gold_file,NON_DISCRIMINATION,OTHER,LLM_gold_rights_over_under,LLM_gold rights: over-predicted {'OTHER'}; missed {'NON_DISCRIMINATION'}.,0.9,The summary does not provide any information related to employment or essential services.
AIAAIC2049,Deloitte Australia fined for AI error-strewn government report,rights,LLM_gold_file,OTHER,NON_DISCRIMINATION;OTHER,LLM_gold_rights_over,LLM_gold rights: over-predicted {'NON_DISCRIMINATION'}.,0.8,"The incident involves a government report that likely affects public services, indicating relevance to essential services. However, it does not pertain to employment-related decisions."
AIAAIC2049,Deloitte Australia fined for AI error-strewn government report,domain,keyword,essential_services,unknown,keyword_misses_essential_services,keyword labelled 'unknown' but manual found 'essential_services'.,,
AIAAIC2049,Deloitte Australia fined for AI error-strewn government report,domain,LLM_v2,essential_services,unknown,LLM_v2_misses_essential_services,LLM_v2 labelled 'unknown' but manual found 'essential_services'.,,
AIAAIC2049,Deloitte Australia fined for AI error-strewn government report,domain,hybrid,essential_services,unknown,hybrid_misses_essential_services,hybrid labelled 'unknown' but manual found 'essential_services'.,,
AIAAIC2049,Deloitte Australia fined for AI error-strewn government report,rights,LLM_gold_file,OTHER,NON_DISCRIMINATION;OTHER,LLM_gold_rights_over,LLM_gold rights: over-predicted {'NON_DISCRIMINATION'}.,0.8,"The incident involves a government report that likely affects public services, indicating relevance to essential services. However, it does not pertain to employment-related decisions."
AIAAIC2049,Deloitte Australia fined for AI error-strewn government report,domain,keyword,essential_services,unknown,keyword_misses_essential_services,keyword labelled 'unknown' but manual found 'essential_services'.,,
AIAAIC2049,Deloitte Australia fined for AI error-strewn government report,domain,LLM_v2,essential_services,unknown,LLM_v2_misses_essential_services,LLM_v2 labelled 'unknown' but manual found 'essential_services'.,,
AIAAIC2049,Deloitte Australia fined for AI error-strewn government report,domain,hybrid,essential_services,unknown,hybrid_misses_essential_services,hybrid labelled 'unknown' but manual found 'essential_services'.,,
AIAAIC2020,DOGE uses faulty AI to cut Veterans Affairs contracts,domain,LLM_gold_file,both,essential_services,LLM_gold_partial_match,LLM_gold labelled 'essential_services' but manual marked BOTH employment AND essential services.,0.9,"The incident involves cutting contracts related to Veterans Affairs, which pertains to essential services. It does not involve employment decisions directly."
AIAAIC2020,DOGE uses faulty AI to cut Veterans Affairs contracts,rights,LLM_gold_file,NON_DISCRIMINATION;PRIVACY,NON_DISCRIMINATION;OTHER,LLM_gold_rights_over_under,LLM_gold rights: over-predicted {'OTHER'}; missed {'PRIVACY'}.,0.9,"The incident involves cutting contracts related to Veterans Affairs, which pertains to essential services. It does not involve employment decisions directly."
AIAAIC2020,DOGE uses faulty AI to cut Veterans Affairs contracts,domain,keyword,both,essential_services,keyword_partial_match,keyword labelled 'essential_services' but manual marked BOTH employment AND essential services.,,
AIAAIC2020,DOGE uses faulty AI to cut Veterans Affairs contracts,domain,LLM_v2,both,essential_services,LLM_v2_partial_match,LLM_v2 labelled 'essential_services' but manual marked BOTH employment AND essential services.,,
AIAAIC2020,DOGE uses faulty AI to cut Veterans Affairs contracts,domain,hybrid,both,essential_services,hybrid_partial_match,hybrid labelled 'essential_services' but manual marked BOTH employment AND essential services.,,
AIAAIC2020,DOGE uses faulty AI to cut Veterans Affairs contracts,domain,LLM_gold_file,both,essential_services,LLM_gold_partial_match,LLM_gold labelled 'essential_services' but manual marked BOTH employment AND essential services.,0.9,"The incident involves cutting contracts related to Veterans Affairs, which pertains to essential services. It does not involve employment decisions directly."
AIAAIC2020,DOGE uses faulty AI to cut Veterans Affairs contracts,rights,LLM_gold_file,NON_DISCRIMINATION;PRIVACY,NON_DISCRIMINATION;OTHER,LLM_gold_rights_over_under,LLM_gold rights: over-predicted {'OTHER'}; missed {'PRIVACY'}.,0.9,"The incident involves cutting contracts related to Veterans Affairs, which pertains to essential services. It does not involve employment decisions directly."
AIAAIC2020,DOGE uses faulty AI to cut Veterans Affairs contracts,domain,keyword,both,essential_services,keyword_partial_match,keyword labelled 'essential_services' but manual marked BOTH employment AND essential services.,,
AIAAIC2020,DOGE uses faulty AI to cut Veterans Affairs contracts,domain,LLM_v2,both,essential_services,LLM_v2_partial_match,LLM_v2 labelled 'essential_services' but manual marked BOTH employment AND essential services.,,
AIAAIC2020,DOGE uses faulty AI to cut Veterans Affairs contracts,domain,hybrid,both,essential_services,hybrid_partial_match,hybrid labelled 'essential_services' but manual marked BOTH employment AND essential services.,,
AIAAIC1935,White House appears to use AI to calculate tariff rates,domain,LLM_gold_file,essential_services,unknown,LLM_gold_misses_essential_services,LLM_gold labelled 'unknown' but manual found 'essential_services'.,0.8,"The incident involves tariff calculations rather than employment decisions or essential services eligibility. However, it raises concerns about accountability and accuracy."
AIAAIC1935,White House appears to use AI to calculate tariff rates,rights,LLM_gold_file,NON_DISCRIMINATION,NON_DISCRIMINATION;OTHER,LLM_gold_rights_over,LLM_gold rights: over-predicted {'OTHER'}.,0.8,"The incident involves tariff calculations rather than employment decisions or essential services eligibility. However, it raises concerns about accountability and accuracy."
AIAAIC1935,White House appears to use AI to calculate tariff rates,domain,keyword,essential_services,employment,keyword_domain_swap,keyword labelled 'employment' but manual found 'essential_services' — domain boundary confusion.,,
AIAAIC1935,White House appears to use AI to calculate tariff rates,domain,LLM_v2,essential_services,unknown,LLM_v2_misses_essential_services,LLM_v2 labelled 'unknown' but manual found 'essential_services'.,,
AIAAIC1935,White House appears to use AI to calculate tariff rates,domain,hybrid,essential_services,employment,hybrid_domain_swap,hybrid labelled 'employment' but manual found 'essential_services' — domain boundary confusion.,,
AIAAIC1935,White House appears to use AI to calculate tariff rates,domain,LLM_gold_file,essential_services,unknown,LLM_gold_misses_essential_services,LLM_gold labelled 'unknown' but manual found 'essential_services'.,0.8,"The incident involves tariff calculations rather than employment decisions or essential services eligibility. However, it raises concerns about accountability and accuracy."
AIAAIC1935,White House appears to use AI to calculate tariff rates,rights,LLM_gold_file,NON_DISCRIMINATION,NON_DISCRIMINATION;OTHER,LLM_gold_rights_over,LLM_gold rights: over-predicted {'OTHER'}.,0.8,"The incident involves tariff calculations rather than employment decisions or essential services eligibility. However, it raises concerns about accountability and accuracy."
AIAAIC1935,White House appears to use AI to calculate tariff rates,domain,keyword,essential_services,employment,keyword_domain_swap,keyword labelled 'employment' but manual found 'essential_services' — domain boundary confusion.,,
AIAAIC1935,White House appears to use AI to calculate tariff rates,domain,LLM_v2,essential_services,unknown,LLM_v2_misses_essential_services,LLM_v2 labelled 'unknown' but manual found 'essential_services'.,,
AIAAIC1935,White House appears to use AI to calculate tariff rates,domain,hybrid,essential_services,employment,hybrid_domain_swap,hybrid labelled 'employment' but manual found 'essential_services' — domain boundary confusion.,,
AIAAIC1872,Christopher Gatlin jailed for two years after faulty facial recognition match,rights,LLM_gold_file,NON_DISCRIMINATION;PRIVACY,OTHER,LLM_gold_rights_over_under,"LLM_gold rights: over-predicted {'OTHER'}; missed {'PRIVACY', 'NON_DISCRIMINATION'}.",0.9,"The summary does not provide any information related to employment or essential services, indicating no relevant classification."
