title,annex_domain,llm_annex_domain,description
TSA Contact Center Virtual Assistant,unknown,essential_services,"The three goals for TSAs virtual assistant are:  1) Improve Ease / Efficiency  deliver timely, accurate responses to customers within / outside of TCC operational hours; 2) Improve Effectiveness  collect new customer insights to help drive agency improvements; 3) Fiscal Responsibility  leverage automation to meet increasing demand without the need for additional resources. TSAs virtual assistant, as a Predictive AI tool, will not be able to create and provide original content to customers.  It will be limited to providing responses to customer inquiries based on the existing content in the TCCs knowledge library.  However, it will record transactional data related to these customer inquiries (e.g., customer inputs, assistant outputs, topic classifications, etc.).

TSAs virtual assistant will create transactional data regarding customer inquiries in a consistent manner to our existing email and phone channels.  TSA uses this transactional data to guide customer experience improvement efforts.  This data offers TSA insights into:  what is working well, where the pain points are, where to improve public information, and what services are most requested."
ELIS Evidence Classifier Machine Learning (ML) Tagging Solution,unknown,essential_services,"To enable end users to navigate directly to the page(s) containing evidence documents of interest instead of sifting through large PDF documents. Evidence tagging intends to accelerate case processing by identifying specific types of documents (e.g., I-589, passport photo spread, marriage certificate) and applying a metadata tag to that document object in ELIS. This way, when a user opens a case with potentially hundreds of pages of evidence documents, rather than scrolling through them one at a time to find a specific document of interest, they have clickable ""bookmarks"" in the UI generated from these tags that will jump directly to the corresponding page. Tagged evidence. The system inputs an image (scanned document from Lockbox) and outputs either a specific label, such as ""Border Crossing Card - Front,"" or no label if that document is not recognized as one of the classes."
Automated Change Detection,unknown,essential_services,"As part of the Census Bureau's efforts to maintain and update the Geographic Frame ahead of the 2030 Decennial Census, the Geography Division is using AI to identify changes in the built environment throughout the nation twice a year. With the areas of change we are extracting our own geographic features (roads, building footprints) to support improving coverage across the nation. We use Google Earth Engine to analyze change in construction using Sentinel-2 imagery and recommend where to use high resolution imagery. The object detection provides roads and building footprints to improve our feature coverage."
Linkage and Matching Program (LaMP),unknown,essential_services,"This use case involves probabilistic record linkage to link multiple person-level datasets. The predicted links are used for downstream processing to enable research regarding economic, demographic, and other topics and improve quality and efficiency of multiple Census operations. The AI produces a prediction regarding whether two records match. Output from the model is pairs of records above a minimum threshold indicating a match along with the score describing the similarity between the two records in the pair."
Automating Multilingual Census Data Processing: An AI and Transformer-Based Pipeline for Efficient Language Detection and Translation for Short-Text,essential_services,unknown,"The purpose of this AI-driven pipeline is to tackle the challenge of processing non-English, short-text responses in large-scale surveys and censuses, especially brief entries for race and ethnicity. Traditional language detection and translation systems often struggle with these minimal text responses, impacting data accuracy and inclusivity. This AI solution is designed to automate the entire multilingual data processing workflow, from language detection to translation, named entity recognition, and validation, using AI and transformer-based models along with natural language processing techniques. By achieving high accuracy even with limited context, the system reduces the need for human translators, increases processing speed, and guarantees fair and accurate representation of diverse populations. This innovation not only supports the agencys mission to collect inclusive, representative data but also benefits the public by contributing to more precise demographic insights, ultimately aiding in resource allocation and policy making. The AI system outputs a series of automated decisions and validated translations for short-text responses, such as race and ethnicity write-ins, within large-scale survey data. Specifically, it provides accurate language detection, corrects potential spelling errors, generates contextually accurate translations, and validates these translations against standardized labels using semantic similarity analysis. The system then selects the most accurate translation for each input, guaranteeing precise categorization and extraction of demographic data. These outputs streamline survey data processing by reducing the need for human intervention, allowing for real-time or near real-time responses that meet high standards of accuracy and inclusivity"
FAQ for SMaRT,essential_services,unknown,"The purpose of the FAQ search tool is to find the correct Census Bureau-provided answers to common questions from the public about the 2025 Census Test. The 2025 Census Test is a proposed test as part of the Small-Scale Response Test (SmaRT) program in decennial. The purpose of this program is to perform experiments using different methods to improve self-response rates and data collection. The SmaRT program accomplishes this using iterative tests with relatively small sample sizes. Four installments of the SmaRT program were fielded before the 2020 Census. Three small-scale tests have occurred so far this decade with the fourth test planned for 2025. There is an online questionnaire for each of the tests, with a census.gov landing page to access the online questionnaire. In the first three tests this decade, there were approximately 15 FAQs on the landing page that the user could read. For the 2025 Census Test, we would like to offer over 50 FAQs to answer the publics questions via a search tool.
Current public-facing search tools at the Census Bureau use exact match only. Depending on what users type to search, the correct FAQ might not appear because users do not always use the same terminology as the Census Bureau. This FAQ search tool built with machine-learning models will use semantic similarity (i.e., synonyms or misspellings) to find the correct answers. The answers it provides back to the public are census-approved answers, and not generative AI answers. If the 2025 Census Test is approved, this search feature will be on the landing page for the survey. Implementing this search tool is considered a proof-of-concept for the use of such a search feature. If it is successful, the search tool could be used in the 2026 Census Test on its landing page, or the 2028 Dress Rehearsal. Ultimately, if it is successful, the public will benefit by finding answers to common questions more easily and more accurately. Description of what the AI system outputs, whether its a prediction, recommendation, decision, etc.
Utilizing transfer learning from Large Language Models (LLMs) we utilize them to encode our Census approved FAQs to then compare to a user query. This user query is then encoded as an embedding from the same LLM model and then we take a distance calculation using cosine similarity to rank our reference materials. We then showcase the top 3 results depending if a threshold is met of .25 cosine similarity or above. It is a semantic search tool that ranks reference material."
"UK government accused of COVID-19 recovery funding algorithmic ""cultural elitism""",essential_services,unknown,"https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/uk-government-accused-of-covid-19-recovery-funding-cultural-elitism Accuracy/reliability; Bias/discrimination; Transparency  UK government accused of COVID-19 recovery funding algorithmic ""cultural elitism"""
UK govt Spotlight fund application assessments,unknown,essential_services,"https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/uk-government-spotlight-algorithm Accuracy/reliability; Bias/discrimination - economic, political  UK govt Spotlight fund application assessments"
DOGE uses faulty AI to cut Veterans Affairs contracts,essential_services,unknown,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/doge-uses-faulty-ai-to-cut-veterans-affairs-contracts Accountability; Accuracy/reliability; Transparency  DOGE uses faulty AI to cut Veterans Affairs contracts
NDIS independent assessments ditched by Australian government,unknown,essential_services,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/ndis-independent-assessments-robo-planning Bias/discrimination; Dual use  NDIS independent assessments ditched by Australian government
"DWP Kickstart ""gateway"" firms with no trading history approved by algorithm",unknown,essential_services,"https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/dwp-kickstart-gateway-firms-with-no-trading-history-approved-by-algorithm Accuracy/reliability; Bias/discrimination  DWP Kickstart ""gateway"" firms with no trading history approved by algorithm"
Trelleborg welfare management automation,essential_services,unknown,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/trelleborg-welfare-management-automation Safety; Employment - jobs; Privacy/surveillance  Trelleborg welfare management automation
"DWP algorithm wrongly flags 200,000 people for possible fraud and error",essential_services,unknown,"https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/dwp-algorithm-wrongly-flags-200000-people-for-possible-fraud Accuracy/reliability  DWP algorithm wrongly flags 200,000 people for possible fraud and error"
Thomson Reuters Fraud Detect 'incorrectly' identifies fraud,essential_services,unknown,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/thomson-reuters-fraud-detect-incorrectly-identifies-fraud Accountability; Accuracy/reliability; Human/civil rights Financial loss; Privacy loss Thomson Reuters Fraud Detect 'incorrectly' identifies fraud
Samagra Vedika system pilot deprives citizens of rations ,essential_services,unknown,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/samagra-vedika-system-pilot-deprives-citizens-of-rations Accuracy/reliability; Accountability; Human/civil rights; Transparency Loss of benefits/entitlements Samagra Vedika system pilot deprives citizens of rations
Arkansas ARChoices Medicaid resource allocation system,essential_services,unknown,"https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/arkansas-dhs-archoices-rugs-algorithm Accountability; Accuracy/reliability; Bias/discrimination - disability, age; Transparency Care cuts; Financial loss; Health deterioration; Anxiety/distress Arkansas ARChoices Medicaid resource allocation system"
PSZ Syriusz unemployment worker profiling,essential_services,unknown,"https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/poland-psz-unemployment-scoring-algorithm Appropriateness/need; Bias/discrimination - age, gender, disability; Effectiveness/value; Fairness; Privacy/surveillance Discrimination; Privacy loss PSZ Syriusz unemployment worker profiling"
Knightscope security robot ignores woman reporting crime,employment,unknown,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/knightscope-hp-robocop-ignores-woman-reporting-crime Accuracy/reliability; Anthropomorphism; Employment  Knightscope security robot ignores woman reporting crime
India Human Efficiency Tracking System sanitation worker surveillance,employment,unknown,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/india-human-efficiency-tracking-sanitation-worker-surveillance Accuracy/reliability; Accountability; Bias/discrimination; Employment; Privacy Privacy loss India Human Efficiency Tracking System sanitation worker surveillance
"Amazon employees, investors protest US government Rekognition sales",employment,essential_services,"https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/amazon-employees-protest-us-govt-rekognition-sales Accuracy/reliability; Bias/discrimination; Human/civil rights; Privacy/surveillance Discrimination; Privacy loss Amazon employees, investors protest US government Rekognition sales"
North Korea uses AI to covertly place IT workers in western tech companies,employment,unknown,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/north-korea-uses-ai-to-place-it-workers-in-western-tech-companies Confidentiality; Authenticity/integrity; Employment; Security; Transparency  North Korea uses AI to covertly place IT workers in western tech companies
