AIAAIC_ID,manual_headline,manual_annex_employment,manual_annex_essential,manual_rights,kw_score,kw_emp_hits,kw_ben_hits,kw_pub_hits,kw_llm_hits,llm_annex_employment,llm_annex_essential,llm_rights,llm_confidence,llm_rationale_short,Summary_links
AIAAIC2125,Chinese hackers use Anthropic AI agent to attack foreign entities ,No,No,PRIVACY,,,,,,No,No,OTHER,0.9,The summary does not provide any information related to employment or essential services.,
AIAAIC2125,Chinese hackers use Anthropic AI agent to attack foreign entities ,No,No,PRIVACY,,,,,,No,No,OTHER,0.9,The summary does not provide any information related to employment or essential services.,
AIAAIC2125,Chinese hackers use Anthropic AI agent to attack foreign entities ,No,No,PRIVACY,,,,,,No,No,OTHER,0.9,The summary does not provide any information related to employment or essential services.,
AIAAIC2094,Bipolar disorder sufferer ends life after bonding with ChatGPT,No,No,OTHER,,,,,,No,No,OTHER,0.9,"The summary does not provide any information related to employment or essential services, indicating no relevant incidents.",
AIAAIC2094,Bipolar disorder sufferer ends life after bonding with ChatGPT,No,No,OTHER,,,,,,No,No,OTHER,0.9,"The summary does not provide any information related to employment or essential services, indicating no relevant incidents.",
AIAAIC2094,Bipolar disorder sufferer ends life after bonding with ChatGPT,No,No,OTHER,,,,,,No,No,OTHER,0.9,"The summary does not provide any information related to employment or essential services, indicating no relevant incidents.",
AIAAIC2054,Claude Opus 4 AI agent blackmails supervisor to prevent being shut down,Yes,No,NON_DISCRIMINATION;PRIVACY,,,,,,No,No,OTHER,0.9,The summary does not provide any information related to employment or essential services.,
AIAAIC2054,Claude Opus 4 AI agent blackmails supervisor to prevent being shut down,Yes,No,NON_DISCRIMINATION;PRIVACY,,,,,,No,No,OTHER,0.9,The summary does not provide any information related to employment or essential services.,
AIAAIC2054,Claude Opus 4 AI agent blackmails supervisor to prevent being shut down,Yes,No,NON_DISCRIMINATION;PRIVACY,,,,,,No,No,OTHER,0.9,The summary does not provide any information related to employment or essential services.,
AIAAIC2053,"AI office vending agent incurs losses, runs amok",Yes,,NON_DISCRIMINATION,,,,,,No,No,OTHER,0.9,The summary does not provide any information related to employment or essential services.,
AIAAIC2053,"AI office vending agent incurs losses, runs amok",Yes,,NON_DISCRIMINATION,,,,,,No,No,OTHER,0.9,The summary does not provide any information related to employment or essential services.,
AIAAIC2053,"AI office vending agent incurs losses, runs amok",Yes,,NON_DISCRIMINATION,,,,,,No,No,OTHER,0.9,The summary does not provide any information related to employment or essential services.,
AIAAIC2049,Deloitte Australia fined for AI error-strewn government report,,Yes,OTHER,4.0,0.0,1.0,3.0,0.0,No,Yes,NON_DISCRIMINATION;OTHER,0.8,"The incident involves a government report that likely affects public services, indicating relevance to essential services. However, it does not pertain to employment-related decisions.",https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/deloitte-australia-fined-for-ai-error-strewn-government-report
AIAAIC2049,Deloitte Australia fined for AI error-strewn government report,,Yes,OTHER,4.0,0.0,1.0,3.0,0.0,No,Yes,NON_DISCRIMINATION;OTHER,0.8,"The incident involves a government report that likely affects public services, indicating relevance to essential services. However, it does not pertain to employment-related decisions.",https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/deloitte-australia-fined-for-ai-error-strewn-government-report
AIAAIC2020,DOGE uses faulty AI to cut Veterans Affairs contracts,Yes,Yes,NON_DISCRIMINATION;PRIVACY,10.0,3.0,3.0,4.0,0.0,No,Yes,NON_DISCRIMINATION;OTHER,0.9,"The incident involves cutting contracts related to Veterans Affairs, which pertains to essential services. It does not involve employment decisions directly.",https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/doge-uses-faulty-ai-to-cut-veterans-affairs-contracts
AIAAIC2020,DOGE uses faulty AI to cut Veterans Affairs contracts,Yes,Yes,NON_DISCRIMINATION;PRIVACY,10.0,3.0,3.0,4.0,0.0,No,Yes,NON_DISCRIMINATION;OTHER,0.9,"The incident involves cutting contracts related to Veterans Affairs, which pertains to essential services. It does not involve employment decisions directly.",https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/doge-uses-faulty-ai-to-cut-veterans-affairs-contracts
AIAAIC1935,White House appears to use AI to calculate tariff rates,,Yes,NON_DISCRIMINATION,3.0,2.0,0.0,1.0,0.0,No,No,NON_DISCRIMINATION;OTHER,0.8,"The incident involves tariff calculations rather than employment decisions or essential services eligibility. However, it raises concerns about accountability and accuracy.",https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/white-house-appears-to-use-ai-to-calculate-tariff-rates
AIAAIC1935,White House appears to use AI to calculate tariff rates,,Yes,NON_DISCRIMINATION,3.0,2.0,0.0,1.0,0.0,No,No,NON_DISCRIMINATION;OTHER,0.8,"The incident involves tariff calculations rather than employment decisions or essential services eligibility. However, it raises concerns about accountability and accuracy.",https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/white-house-appears-to-use-ai-to-calculate-tariff-rates
AIAAIC1872,Christopher Gatlin jailed for two years after faulty facial recognition match,No,No,NON_DISCRIMINATION;PRIVACY,,,,,,No,No,OTHER,0.9,"The summary does not provide any information related to employment or essential services, indicating no relevant classification.",
AIAAIC1872,Christopher Gatlin jailed for two years after faulty facial recognition match,No,No,NON_DISCRIMINATION;PRIVACY,,,,,,No,No,OTHER,0.9,"The summary does not provide any information related to employment or essential services, indicating no relevant classification.",
AIAAIC1855,Taiwanese AI repeats Chinese government line,No,No,NON_DISCRIMINATION;PRIVACY,2.0,0.0,1.0,1.0,0.0,No,No,NON_DISCRIMINATION;OTHER,0.8,"The incident does not pertain to employment decisions or essential services, but raises concerns about potential bias and misinformation.",https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/taiwanese-ai-repeats-chinese-government-line
AIAAIC1855,Taiwanese AI repeats Chinese government line,No,No,NON_DISCRIMINATION;PRIVACY,2.0,0.0,1.0,1.0,0.0,No,No,NON_DISCRIMINATION;OTHER,0.8,"The incident does not pertain to employment decisions or essential services, but raises concerns about potential bias and misinformation.",https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/taiwanese-ai-repeats-chinese-government-line
AIAAIC1840,UK welfare fraud AI system criticised as biased and opaque,No,Yes,NON_DISCRIMINATION,8.0,0.0,4.0,4.0,0.0,No,Yes,NON_DISCRIMINATION;OTHER,0.9,"The incident involves a welfare fraud AI system that affects eligibility for public assistance, classifying it under essential services. The bias and discrimination issues highlight concerns related to non-discrimination rights.",https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/uk-welfare-fraud-ai-system-criticised-as-biased-and-opaque
AIAAIC1840,UK welfare fraud AI system criticised as biased and opaque,No,Yes,NON_DISCRIMINATION,8.0,0.0,4.0,4.0,0.0,No,Yes,NON_DISCRIMINATION;OTHER,0.9,"The incident involves a welfare fraud AI system that affects eligibility for public assistance, classifying it under essential services. The bias and discrimination issues highlight concerns related to non-discrimination rights.",https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/uk-welfare-fraud-ai-system-criticised-as-biased-and-opaque
AIAAIC1768,Inaccuracies reveal child protection worker used ChatGPT to draft court report,No,Yes,NON_DISCRIMINATION;PRIVACY,7.0,1.0,1.0,4.0,1.0,No,Yes,NON_DISCRIMINATION;PRIVACY,0.8,"The incident involves a child protection worker using AI in a context that affects essential services related to child welfare, thus falling under Annex III(5)(a). It does not pertain to employment decisions.",https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/inaccuracies-reveal-child-protection-worker-used-chatgpt-to-draft-report
AIAAIC1768,Inaccuracies reveal child protection worker used ChatGPT to draft court report,No,Yes,NON_DISCRIMINATION;PRIVACY,7.0,1.0,1.0,4.0,1.0,No,Yes,NON_DISCRIMINATION;PRIVACY,0.8,"The incident involves a child protection worker using AI in a context that affects essential services related to child welfare, thus falling under Annex III(5)(a). It does not pertain to employment decisions.",https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/inaccuracies-reveal-child-protection-worker-used-chatgpt-to-draft-report
AIAAIC1648,"DWP Kickstart ""gateway"" firms with no trading history approved by algorithm",Yes,,NON_DISCRIMINATION;PRIVACY,8.0,2.0,3.0,3.0,0.0,Yes,No,NON_DISCRIMINATION;OTHER,0.85,"The incident involves algorithmic approval of firms for a government program, impacting employment opportunities, thus falling under employment classification. However, it does not pertain to essential public services or benefits.",https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/dwp-kickstart-gateway-firms-with-no-trading-history-approved-by-algorithm
AIAAIC1647,"UK government accused of COVID-19 recovery funding algorithmic ""cultural elitism""",Yes,Yes,NON_DISCRIMINATION,11.0,2.0,4.0,5.0,0.0,No,Yes,NON_DISCRIMINATION;OTHER,0.8,"The incident involves algorithmic bias in funding allocation, which affects access to public services, qualifying it under essential services. However, it does not pertain to employment-related decisions.",https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/uk-government-accused-of-covid-19-recovery-funding-cultural-elitism
AIAAIC1642,Utah online dispute resolution system benefits lenders not litigants,No,Yes,NON_DISCRIMINATION,5.0,0.0,2.0,3.0,0.0,No,No,NON_DISCRIMINATION,0.8,"The incident relates to fairness in a dispute resolution system, impacting litigants and lenders, but does not involve employment or essential services.",https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/utah-dispute-resolution-system-benefits-lenders-not-litigants
AIAAIC1576,"DWP algorithm wrongly flags 200,000 people for possible fraud and error",No,Yes,NON_DISCRIMINATION,7.0,0.0,3.0,4.0,0.0,No,Yes,NON_DISCRIMINATION;OTHER,0.9,"The incident involves an algorithm that incorrectly flags individuals for fraud, impacting their eligibility for public assistance, which falls under essential services. It does not pertain to employment decisions directly.",https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/dwp-algorithm-wrongly-flags-200000-people-for-possible-fraud
AIAAIC2125,Chinese hackers use Anthropic AI agent to attack foreign entities ,No,Yes,PRIVACY,,,,,,No,No,OTHER,0.9,The summary does not provide any information related to employment or essential services.,
AIAAIC2125,Chinese hackers use Anthropic AI agent to attack foreign entities ,No,Yes,PRIVACY,,,,,,No,No,OTHER,0.9,The summary does not provide any information related to employment or essential services.,
AIAAIC2125,Chinese hackers use Anthropic AI agent to attack foreign entities ,No,Yes,PRIVACY,,,,,,No,No,OTHER,0.9,The summary does not provide any information related to employment or essential services.,
AIAAIC2094,Bipolar disorder sufferer ends life after bonding with ChatGPT,No,No,OTHER,,,,,,No,No,OTHER,0.9,"The summary does not provide any information related to employment or essential services, indicating no relevant incidents.",
AIAAIC2094,Bipolar disorder sufferer ends life after bonding with ChatGPT,No,No,OTHER,,,,,,No,No,OTHER,0.9,"The summary does not provide any information related to employment or essential services, indicating no relevant incidents.",
AIAAIC2094,Bipolar disorder sufferer ends life after bonding with ChatGPT,No,No,OTHER,,,,,,No,No,OTHER,0.9,"The summary does not provide any information related to employment or essential services, indicating no relevant incidents.",
AIAAIC2054,Claude Opus 4 AI agent blackmails supervisor to prevent being shut down,Yes,No,PRIVACY,,,,,,No,No,OTHER,0.9,The summary does not provide any information related to employment or essential services.,
AIAAIC2054,Claude Opus 4 AI agent blackmails supervisor to prevent being shut down,Yes,No,PRIVACY,,,,,,No,No,OTHER,0.9,The summary does not provide any information related to employment or essential services.,
AIAAIC2054,Claude Opus 4 AI agent blackmails supervisor to prevent being shut down,Yes,No,PRIVACY,,,,,,No,No,OTHER,0.9,The summary does not provide any information related to employment or essential services.,
AIAAIC2053,"AI office vending agent incurs losses, runs amok",No,No,OTHER,,,,,,No,No,OTHER,0.9,The summary does not provide any information related to employment or essential services.,
AIAAIC2053,"AI office vending agent incurs losses, runs amok",No,No,OTHER,,,,,,No,No,OTHER,0.9,The summary does not provide any information related to employment or essential services.,
AIAAIC2053,"AI office vending agent incurs losses, runs amok",No,No,OTHER,,,,,,No,No,OTHER,0.9,The summary does not provide any information related to employment or essential services.,
AIAAIC2049,Deloitte Australia fined for AI error-strewn government report,Yes,No,OTHER,4.0,0.0,1.0,3.0,0.0,No,Yes,NON_DISCRIMINATION;OTHER,0.8,"The incident involves a government report that likely affects public services, indicating relevance to essential services. However, it does not pertain to employment-related decisions.",https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/deloitte-australia-fined-for-ai-error-strewn-government-report
AIAAIC2049,Deloitte Australia fined for AI error-strewn government report,Yes,No,OTHER,4.0,0.0,1.0,3.0,0.0,No,Yes,NON_DISCRIMINATION;OTHER,0.8,"The incident involves a government report that likely affects public services, indicating relevance to essential services. However, it does not pertain to employment-related decisions.",https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/deloitte-australia-fined-for-ai-error-strewn-government-report
AIAAIC2020,DOGE uses faulty AI to cut Veterans Affairs contracts,Yes,Yes,NON_DISCRIMINATION,10.0,3.0,3.0,4.0,0.0,No,Yes,NON_DISCRIMINATION;OTHER,0.9,"The incident involves cutting contracts related to Veterans Affairs, which pertains to essential services. It does not involve employment decisions directly.",https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/doge-uses-faulty-ai-to-cut-veterans-affairs-contracts
